##mBCategory;;;;
code;facility;name;active;visible
categorie-icizanye-cuisine;ICIZANYE-HOTEL;CUISINE;TRUE;TRUE
categorie-icizanye-bar;ICIZANYE-HOTEL;BAR;TRUE;TRUE
categorie-icizanye-salle;ICIZANYE-HOTEL;SALLE;TRUE;TRUE
categorie-icizanye-hebergement;ICIZANYE-HOTEL;HEBERGEMENT;TRUE;TRUE
categorie-icizanye-gymnase;ICIZANYE-HOTEL;GYMNASE;TRUE;TRUE
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
##mBCategory;;;;
code;facility;name;active;visible
categorie-kugatumba-cuisine;SNACK-BAR-KUGATUMBA;CUISINE;TRUE;TRUE
categorie-kugatumba-bar;SNACK-BAR-KUGATUMBA;BAR;TRUE;TRUE
categorie-kugatumba-salle;SNACK-BAR-KUGATUMBA;SALLE;TRUE;TRUE
;;;;
;;;;
;;;;
;;;;
;;;;
##mBCategory;;;;
code;facility;name;active;visible
categorie-sptpa-matière-première;SPTPA-TERINTAMBWE;MATIERE-PREMIERE;TRUE;TRUE
categorie-sptpa-produit-finie;SPTPA-TERINTAMBWE;PRODUIT-FINIE;TRUE;TRUE
categorie-sptpa-son-maïs;SPTPA-TERINTAMBWE;SON-DE-MAïS;TRUE;TRUE
