##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-ASSIETTE;196;10000
INVENTORY-FLUTEUSES;4;250000
INVENTORY-BASSINS-G;8;35000
INVENTORY-TAMIS;11;0
INVENTORY-IMBABURA;7;15000
INVENTORY-ISAFURIYA;11;20000
INVENTORY-IKARAYI;6;15000
INVENTORY-MIXEUR;1;180000
INVENTORY-CONGELATEUR;2;500000
INVENTORY-CUISINIERE;1;4700000
INVENTORY-BALANCE;2;45000
INVENTORY-PLANCHES;3;25000
INVENTORY-PALLETTE;6;20000
INVENTORY-IPANU;6;30000
INVENTORY-BASSIN_P;13;4000
INVENTORY-IBIRIKA;12;5000
INVENTORY-FOURCHETTE;101;2000
INVENTORY-COUTEAU_DE_TABLE;84;2000
INVENTORY-UTUYIKO_DUTOYA;51;1500
INVENTORY-BOLLE;76;5000
INVENTORY-CHAUFFE_EAU;2;45000
INVENTORY-TABLE_DE_CUISINE;8;40000
INVENTORY-CABELAS;1;0
INVENTORY-ROUCHE;5;2500
INVENTORY-MACHETTE_DE_CUISINE;3;8000
INVENTORY-FOUR_AKABENZI;1;6500000
INVENTORY-VANTILATEUR;1;600000
INVENTORY-CALCULATRICE;1;10000
;;
;;
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-CARTON_AMSTEL_G;67;45000
INVENTORY-CARTON_P_AMSTEL;28;80000
INVENTORY-CARTON_PRIMUS_G;26;25000
INVENTORY-CARTON_PRIMUS_P;33;45000
INVENTORY-CARTON_VIVA;36;55000
INVENTORY-CARTON_FANTA;81;35000
INVENTORY-CARTON_ROYALE;41;100000
INVENTORY-CARTON_SOMA;4;0
INVENTORY-CARTON_SKOL;20;0
INVENTORY-CARTON_TUSKER;2;0
INVENTORY-CARTON_SMINOFF;2;0
INVENTORY-BOUTEUILLE_SOMA;12;0
INVENTORY-BOUTEUILLE_AMSTEL_G;6;4000
INVENTORY-BOUTEUILLE_AMSTEL_P;5;4000
INVENTORY-BOUTEUILLE_PRIMUS_G ;7;4000
INVENTORY-BOUTEUILLE_PRIMUS_P ;13;4000
INVENTORY-BOUTEUILLE_FANTA;17;1000
INVENTORY-BOUTEUILLE_VIVA;8;1000
INVENTORY-BOUTEUILLE_ROYALE;3;5000
INVENTORY-CARTON_VIDE_AMSTEL_G;7;10000
INVENTORY-CARTON_VIDE_AMSTEL_P;33;5000
INVENTORY-CARTON_VIDE_PRIMUS_G;16;5000
INVENTORY-CARTON_VIDE_VIVA;13;5000
INVENTORY-CHAISES;146;45000
INVENTORY-TABLES;48;81250
INVENTORY-CHAISE_DE_COMPTOIR;44;150000
INVENTORY-TABLES_DE_COMPTOIR;10;266000
INVENTORY-CHAISE_FAUTEUILS;6;400000
INVENTORY-CHAISES_BRARUDI;270;3500
INVENTORY-TABLES_BRARUDI;44;60000
INVENTORY-IMITAKA_YA_BRARUDI;30;150000
INVENTORY-BILLARD;2;5000000
INVENTORY-FRIGO;2;3000000
INVENTORY-FRIGO_BRARUDI;1;0
INVENTORY-ORDINATEUR;1;400000
INVENTORY-IMPRIMANTE;1;1000000
INVENTORY-PARAPLUIE;5;12000
INVENTORY-CARCULATRICE;1;10000
INVENTORY-POUBELLE;3;10000
INVENTORY-CAMERA;1;2500000
INVENROTY-CONGELATEUR;1;200000
INVENTORY-ROUTEUR;1;150000
INVENTORY-VERRE-SIMPLE;50;5000
INVENTORY-CONGELATEUR-BRARUDI;1;0
INVENTORY-PLATEAUX;9;10000
INVENTORY-COUPE;30;5000
INVENTORY-VERRE-DE-VIN;19;5000
INVENTORY-VERRE-BRARUDI;146;0
;;
;;
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-TISSU;10;20000
INVENTORY-RADIO;1;5100000
INVENTORY-HAUT_PARLEUR;1;3700000
INVENTORY-RETRO_PROJECTEUR;1;450000
INVENTORY-VENTILLATEUR;2;800000
INVENTORY-MIXEUR;1;1200000
INVENTORY-RADIO-SIMPLE;1;1000000
;;
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-CAMIONNETTE;1;30000000
INVENTORY-GROUPE_ELECTOGENE;1;20000000
