##mBInventory;;;;;;;
code;name;category;quantity;cost;active;visible;unit
INVENTORY-AMBALLAGE-DE-25KG;Amballage de 25kg;categorie-sptpa-amballage;1054;1000;TRUE;TRUE;piece
INVENTORY-AMBALLAGE-DE-10KG;Amballage de10kg;categorie-sptpa-amballage;809;700;TRUE;TRUE;piece
INVENTORY-AMBALLAGE-DE-5KG;Amballage de 5kg;categorie-sptpa-amballage;1701;650;TRUE;TRUE;piece
INVENTORY-AMBALLAGE-DE-1KG;Amballage de 1kg;categorie-sptpa-amballage;3859;700;TRUE;TRUE;piece
INVENTORY-AMBALLAGE-DE-500G;Amballage de 500g;categorie-sptpa-amballage;677;550;TRUE;TRUE;piece
;;;;;;;
;;;;;;;
;;;;;;;
##mBInventory;;;;;;;
code;name;category;quantity;cost;active;visible;unit
INVENTORY-MAïS;Maïs;categorie-sptpa-matière-première;874;1500;TRUE;TRUE;kg
INVENTORY-SORGHO;Sorgho;categorie-sptpa-matière-première;1040;1700;TRUE;TRUE;kg
INVENTORY-SOJA;Soja;categorie-sptpa-matière-première;1024;2000;TRUE;TRUE;kg
INVENTORY-BLE;Blé;categorie-sptpa-matière-première;110;2700;TRUE;TRUE;kg
INVENTORY-RIZ;Riz;categorie-sptpa-matière-première;10;3500;TRUE;TRUE;kg
;;;;;;;
##mBInventory;;;;;;;
code;name;category;quantity;cost;active;visible;unit
INVENTORY-LIGNE-ELECTRIQUE;Ligne électrique;categorie-sptpa-electrique;1;60000000;TRUE;TRUE;piece
INVENTORY-GROUPE-ELECTROGENE-SPTPA;Groupe electrogene-Sptpa;categorie-sptpa-electrique;1;50000000;TRUE;TRUE;piece
;;;;;;;
;;;;;;;
##mBInventory;;;;;;;
code;name;category;quantity;cost;active;visible;unit
INVENTORY-DROYER;Droyer;categorie-sptpa-machine;1;;TRUE;TRUE;piece
INVENTORY-GRADER;Grader;categorie-sptpa-machine;1;5000000;TRUE;TRUE;piece
INVENTORY-MACHINE-CYNCLONE;Machine Cynclone;categorie-sptpa-machine;1;4000000;TRUE;TRUE;piece
INVENTORY-MELANGEUR;Melangeur;categorie-sptpa-machine;1;9000000;TRUE;TRUE;piece
INVENTORY-TORREFACTEUR;Torrefacteur;categorie-sptpa-machine;1;8550000;TRUE;TRUE;piece
INVENTORY-CHAINE-DE-PRODUCTION-MAΪS;Maϊs;categorie-sptpa-machine;1;;TRUE;TRUE;piece
INVENTORY-CYNCLONE-INOXYDABLE;Cynclone Inoxydable;categorie-sptpa-machine;2;7500000;TRUE;TRUE;piece
INVENTORY-CHAINE-DE-PRODUCTION-RIZ;Riz;categorie-sptpa-machine;1;;TRUE;TRUE;piece
;;;;;;;
;;;;;;;
##mBInventory;;;;;;;
code;name;category;quantity;cost;active;visible;unit
INVENTORY-FARINE-DE-MAΪS-DE-25KG;Farine de maïs de 25kg;categorie-sptpa-produit-finie;0;;TRUE;TRUE;piece
