##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-CONGERATEUR;4;1000000
INVENTORY-FRIGOT-CUISINE;1;2000000
INVENTORY-MICRO_ONDE;3;500000
INVENTORY-FRITEUSE;3;250000
INVENTORY-CAFETIERE;3;200000
INVENTORY-CHAUFFE_EAU-CUISINE;2;45000
INVENTORY-TOOSTER;2;30000
INVENTORY-MIXER_A_JUS;2;90000
INVENTORY-TABLE_GRAND;1;1500000
INVENTORY-BALANCE_GRAND;4;150000
INVENTORY-BALANCE_PETIT;1;45000
INVENTORY-TELEMOS_GRAND;9;25000
INVENTORY-TELEMOS_PETIT;18;15000
INVENTORY-ISAFUNIYA_NINI;4;90000
INVENTORY-ISAFUNIYA_NTOYA;5;15000
INVENTORY-PANNEAU_OMLETTE;4;60000
INVENTORY-PANNEAU_DE_THE;9;15000
INVENTORY-PANNEAU_SIMPLE;15;35000
INVENTORY-PANNEAU_DES_FRITTES;5;20000
INVENTORY-MARMITE_DE_PATTE_P;2;15000
INVENTORY-GRAND_BASSIN;6;35000
INVENTORY-PETIT__BASSIN;8;4000
INVENTORY-IMBABURA;5;12000
INVENTORY-SEAUX-CUISINE;6;12000
INVENTORY-BAIN_MALIN;10;600000
INVENTORY-VERRE_DE_LAIT;7;4000
INVENTORY-CHINWA;1;0
INVENTORY-FOUE;4;0
INVENTORY-SOUS_TASSE;100;25000
INVENTORY-JAGUE;1;5000
INVENTORY-BOLLE_DE_FRUIT;2;5000
INVENTORY-BOLLE_DE_SOUPE;6;5000
INVENTORY-BOLLE_DE_PUMA;9;5000
INVENTORY-B0LLE_DE_SUCRE;3;5000
INVENTORY-VENTULATEUR;0;0
INVENTORY-MARMITE_DE_BUFFET;16;30000
INVENTORY-PLATEAU_SALADE_G;7;6500
INVENTORY-PLATEAU_SALADE_P;13;4000
INVENTORY-ASSIETTE_DE_P_ENTIER;3;60000
INVENTORY-ASSIETTE_DE_MUKEKE;16;50000
INVENTORY-ASSIETTE_DE_MELANGE;6;12000
INVENTORY-ASSIETTE_DE_COM_SIMPLE;88;12000
INVENTORY-FOURCHETTE;412;2000
INVENTORY-LOUCHE;25;4000
INVENTORY-COUTEAU;160;2000
INVENTORY-PETIT_CUIERRE;62;1500
INVENTORY-CUIERRE_DE_SOUPE;65;3000
INVENTORY-ASSIETTE_IGISAFURIYA;2;60000
INVENTORY-PLANCHE;4;25000
INVENTORY-ETAGERE-CUISINE;2;150000
INVENTORY-CALCULATRICE-CUISINE;1;10000
INVENTORY-HOT_POT;2;600000
INVENTORY-MACHINE_VIANDE;2;200000
INVENTORY-MIXEUR_A_SOUPE;5;180000
INVENTORY-PORTE-CUILLEUR;2;10000
INVENTORY-IFURU;1;700000
INVENTORY-MACHINEPOMM_DE_TERRE;1;550000
INVENTORY-PLATINE;4;30000
INVENTORY-KETIA;2;25000
INVENTORY-GRIADE;7;25000
INVENTORY-LAPPE_CHOUX;5;3000
INVENTORY-LAPPE_CAROTTE;4;3000
INVENTORY-COUTEAU_STEACK;4;1500
INVENTORY-CUISINIERE_A_GAZ;1;2500000
INVENTORY-COUTEAU_SIMPLE;2;3000
INVENTORY-MARTEAU_A_STEACK;2;15000
;;
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-CIBOIRE;9;1000000
INVENTORY-FRIGOT-BAR;4;2000000
INVENTORY-ORDINATEUR_DE_BUREAU;2;500000
INVENTORY-ORDINATEUR_PORTABLE;2;1000000
INVENTORY-RADIO-BAR;1;1000000
INVENTORY-TELEVISION-BAR;1;3000000
INVENTORY-IMPRIMANTE-BAR;2;750000
INVENTORY-CHAISE_PLASTIQUE;217;35000
INVENTORY-CHAISE_RESTO_BAR;49;60000
INVENTORY-CHAISE_ET_TABLE_PALLAUTE;10;500000
INVENTORY-TABLE_PLASTIQUE;34;60000
INVENTORY-TABLE_METALLIQUE;5;200000
INVENTORY-TABLE_EN_BOIS;46;35000
INVENTORY-TABLE_ZIBIYO_NINI;4;500000
INVENTORY-TABLE_ZIBIYO_NTOYA;3;250000
INVENTORY-VERRE_DE_LIMONADE;17;4000
INVENTORY-VERRE_DE_VIN;10;4000
INVENTORY-VERRE_DE_PRIMUS;72;5000
INVENTORY-VERRE_DE_AMSTEL;142;5000
INVENTORY-CARTON_DE_G_AMSTEL;44;45000
INVENTORY-CARTON_DE_G_PRIMUS;34;25000
INVENTORY-CARTON_DE_P_AMSTEL;18;80000
INVENTORY-CARTON_DE_P_PRIMUS;25;45000
INVENTORY-CARTON_SKOOL;28;47000
INVENTORY-CARTON_SOMA;5;30000
INVENTORY-CARTON_FANTA;25;35000
INVENTORY-CARTON_ROYAL;16;100000
INVENTORY-CARTON_VIVA;32;55000
INVENTORY-VIDE_G_AMSTEL;20;5000
INVENTORY-VIDE_G_PRIMUS;47;5000
INVENTORY-VIDE_ROYAL;71;5000
INVENTORY-VIDE_FANTA;21;5000
INVENTORY-TABLE_COMPTOIRE;3;150000
INVENTORY-CHAISE_COMPTOIRE;14;60000
INVENTORY-CHAISE_BLANC;19;0
INVENTORY-CHAISE_METTALIQUE;27;60000
INVENTORY-PLATEAU_EN_BOIS;9;10000
INVENTORY-PLTEAU_BRARUDI;20;5000
INVENTORY-ETAGERE-BAR;2;225000
INVENTORY-ETAGERE-METALIQUE;2;2000000
INVENTORY-COFRE-FORT;1;4500000
;;
;;
;;
;;
;;
##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-PISCINE_;1;30000000
INVENTORY-FILTRE_DE_SABLE;1;12000000
INVENTORY-ASPIRATEUR_ET_TUYAUX;1;10000000
INVENTORY-SCEAU-GYMNASE;1;50000
INVENTORY-PORTE_MENTAUX-GYMNASE;2;25000
INVENTORY-RACLETTE-GYM;1;3000
INVENTORY-TUYAUX_ALIMANTA;1;5000000
