##01/03/2023;;;;;;;
##mBInventory;;;;;;;
code;name;category;quantity;cost;active;visible;unit
INVENTORY-CONGERATEUR;Congerateur;categorie-icizanye-cuisine;4;4000000;TRUE;TRUE;piece
INVENTORY-FRIGOT;Frigot;categorie-icizanye-cuisine;1;2000000;TRUE;TRUE;piece
INVENTORY-MICRO_ONDE;Micro onde;categorie-icizanye-cuisine;3;1500000;TRUE;TRUE;piece
INVENTORY-FRITEUSE;Friteuse;categorie-icizanye-cuisine;4;1000000;TRUE;TRUE;piece
INVENTORY-CAFETIERE;Cafetiere;categorie-icizanye-cuisine;4;800000;TRUE;TRUE;piece
INVENTORY-CHAUFFE_EAU;Chauffe eau;categorie-icizanye-cuisine;2;90000;TRUE;TRUE;piece
INVENTORY-TOOSTER;Tooster;categorie-icizanye-cuisine;2;60000;TRUE;TRUE;piece
INVENTORY-MIXER_A_JUS;Mixer a jus;categorie-icizanye-cuisine;2;180000;TRUE;TRUE;piece
INVENTORY-TABLE_GRAND;Table grand;categorie-icizanye-cuisine;1;1500000;TRUE;TRUE;piece
INVENTORY-BALANCE_GRAND;Balance grand;categorie-icizanye-cuisine;4;600000;TRUE;TRUE;piece
INVENTORY-BALANCE_PETIT;Balance petit;categorie-icizanye-cuisine;1;45000;TRUE;TRUE;piece
INVENTORY-TELEMOS_GRAND;Telemos grand;categorie-icizanye-cuisine;9;225000;TRUE;TRUE;piece
INVENTORY-TELEMOS_PETIT;Telemos petit;categorie-icizanye-cuisine;18;270000;TRUE;TRUE;piece
INVENTORY-ISAFUNIYA_NINI;Isafuniya nini;categorie-icizanye-cuisine;4;360000;TRUE;TRUE;piece
INVENTORY-ISAFUNIYA_NTOYA;Isafuniya ntoya;categorie-icizanye-cuisine;5;75000;TRUE;TRUE;piece
INVENTORY-PANNEAU_D?OMLETTE;Panneau d?omlette;categorie-icizanye-cuisine;4;240000;TRUE;TRUE;piece
INVENTORY-PANNEAU_DE_THÈ;Panneau de thÈ;categorie-icizanye-cuisine;9;135000;TRUE;TRUE;piece
INVENTORY-PANNEAU_SIMPLE;Panneau simple;categorie-icizanye-cuisine;15;;TRUE;TRUE;piece
INVENTORY-PANNEAU_DES_FRITTES;Panneau des frittes;categorie-icizanye-cuisine;5;100000;TRUE;TRUE;piece
INVENTORY-MARMITE_DE_PATTE_P;Marmite de patte p;categorie-icizanye-cuisine;2;30000;TRUE;TRUE;piece
INVENTORY-GRAND_BASSIN;Grand bassin;categorie-icizanye-cuisine;6;210000;TRUE;TRUE;piece
INVENTORY-PETIT__BASSIN;Petit  bassin;categorie-icizanye-cuisine;8;32000;TRUE;TRUE;piece
INVENTORY-IMBABURA;Imbabura;categorie-icizanye-cuisine;5;60000;TRUE;TRUE;piece
INVENTORY-SEAUX;Seaux;categorie-icizanye-cuisine;6;;TRUE;TRUE;piece
INVENTORY-BAIN_MALIN;Bain malin;categorie-icizanye-cuisine;10;600000;TRUE;TRUE;piece
INVENTORY-VERRE_DE_LAIT;Verre de lait;categorie-icizanye-cuisine;7;28000;TRUE;TRUE;piece
INVENTORY-CHINWA;Chinwa;categorie-icizanye-cuisine;1;;TRUE;TRUE;piece
INVENTORY-FOUE;Foue;categorie-icizanye-cuisine;4;;TRUE;TRUE;piece
INVENTORY-SOUS_TASSE;Sous tasse ;categorie-icizanye-cuisine;120;3000000;TRUE;TRUE;piece
INVENTORY-JAGUE;Jague;categorie-icizanye-cuisine;1;5000;TRUE;TRUE;piece
INVENTORY-BOLLE_DE_FRUIT;Bolle de Fruit;categorie-icizanye-cuisine;2;10000;TRUE;TRUE;piece
INVENTORY-BOLLE_DE_SOUPE;Bolle de soupe;categorie-icizanye-cuisine;6;30000;TRUE;TRUE;piece
INVENTORY-BOLLE_DE_PUMA;Bolle de puma;categorie-icizanye-cuisine;9;45000;TRUE;TRUE;piece
INVENTORY-B0LLE_DE_SUCRE;B0lle de sucre;categorie-icizanye-cuisine;3;15000;TRUE;TRUE;piece
INVENTORY-VENTULATEUR;Ventulateur;categorie-icizanye-cuisine;5;;TRUE;TRUE;piece
INVENTORY-MARMITE_DE_BUFFET;Marmite de buffet;categorie-icizanye-cuisine;16;480000;TRUE;TRUE;piece
INVENTORY-PLATEAU_SALADE_G;Plateau salade G;categorie-icizanye-cuisine;7;45500;TRUE;TRUE;piece
INVENTORY-PLATEAU_SALADE_P;Plateau salade P;categorie-icizanye-cuisine;13;52000;TRUE;TRUE;piece
INVENTORY-ASSIETTE_DE_P_ENTIER;Assiette de P entier;categorie-icizanye-cuisine;3;180000;TRUE;TRUE;piece
INVENTORY-ASSIETTE_DE_MUKEKE;Assiette de mukeke;categorie-icizanye-cuisine;16;800000;TRUE;TRUE;piece
INVENTORY-ASSIETTE_DE_MELANGE;Assiette de melange;categorie-icizanye-cuisine;17;204000;TRUE;TRUE;piece
INVENTORY-ASSIETTE_DE_COM_SIMPLE;Assiette de com simple;categorie-icizanye-cuisine;88;1056000;TRUE;TRUE;piece
INVENTORY-FOURCHETTE;Fourchette;categorie-icizanye-cuisine;412;824000;TRUE;TRUE;piece
INVENTORY-LOUCHE;Louche;categorie-icizanye-cuisine;25;100000;TRUE;TRUE;piece
INVENTORY-COUTEAU;Couteau;categorie-icizanye-cuisine;160;320000;TRUE;TRUE;piece
INVENTORY-PETIT_CUIERRE;Petit cuierre;categorie-icizanye-cuisine;62;93000;TRUE;TRUE;piece
INVENTORY-CUIERRE_DE_SOUPE;Cuierre de soupe;categorie-icizanye-cuisine;65;195000;TRUE;TRUE;piece
INVENTORY-ASSIETTE_IGISAFURIYA;Assiette igisafuriya;categorie-icizanye-cuisine;2;120000;TRUE;TRUE;piece
INVENTORY-PLANCHE;Planche;categorie-icizanye-cuisine;4;100000;TRUE;TRUE;piece
INVENTORY-ETAGERE;Etagere;categorie-icizanye-cuisine;2;300000;TRUE;TRUE;piece
INVENTORY-CALCULATRICE;Calculatrice;categorie-icizanye-cuisine;1;10000;TRUE;TRUE;piece
INVENTORY-HOT_POT;Hot pot;categorie-icizanye-cuisine;2;;TRUE;TRUE;piece
INVENTORY-MACHINE_VIANDE;Machine viande;categorie-icizanye-cuisine;2;;TRUE;TRUE;piece
INVENTORY-MIXEUR_A_SOUPE;Mixeur a soupe;categorie-icizanye-cuisine;5;;TRUE;TRUE;piece
INVENTORY-PORTE-CUILLEUR;Porte-cuilleur;categorie-icizanye-cuisine;2;;TRUE;TRUE;piece
INVENTORY-IFURU;Ifuru;categorie-icizanye-cuisine;2;;TRUE;TRUE;piece
INVENTORY-MACHINEPOMM_DE_TERRE;Machinepomm de terre;categorie-icizanye-cuisine;1;;TRUE;TRUE;piece
INVENTORY-PLATINE;Platine;categorie-icizanye-cuisine;4;;TRUE;TRUE;piece
INVENTORY-KETIA;Ketia;categorie-icizanye-cuisine;2;;TRUE;TRUE;piece
INVENTORY-GRIADE;Griade;categorie-icizanye-cuisine;7;;TRUE;TRUE;piece
INVENTORY-LAPPE_CHOUX;Lappe choux;categorie-icizanye-cuisine;5;;TRUE;TRUE;piece
INVENTORY-LAPPE_CAROTTE;Lappe carotte;categorie-icizanye-cuisine;4;;TRUE;TRUE;piece
INVENTORY-COUTEAU_STEACK;Couteau steack;categorie-icizanye-cuisine;4;;TRUE;TRUE;piece
INVENTORY-CUISINIERE_A_GAZ;Cuisiniere a gaz;categorie-icizanye-cuisine;1;;TRUE;TRUE;piece
INVENTORY-COUTEAU_SIMPLE;couteau simple;categorie-icizanye-cuisine;2;;TRUE;TRUE;piece
INVENTORY-MARTEAU_A_STEACK;Marteau a steack;categorie-icizanye-cuisine;2;;TRUE;TRUE;piece
;;;;;;;
;;;;;;;
;;;;;;;
##mBInventory;;;;;;;
code;name;category;quantity;cost;active;visible;unite
INVENTORY-CIBOIRE;Ciboire;categorie-icizanye-bar;9;9000000;TRUE;TRUE;piece
INVENTORY-FRIGOT;Frigot;categorie-icizanye-bar;4;8000000;TRUE;TRUE;piece
INVENTORY-ORDINATEUR_DE_BUREAU;Ordinateur de bureau;categorie-icizanye-bar;2;600000;TRUE;TRUE;piece
INVENTORY-ORDINATEUR_PORTABLE;Ordinateur portable;categorie-icizanye-bar;2;2000000;TRUE;TRUE;piece
INVENTORY-RETRO_PROJECTEUR;Retro projecteur;categorie-icizanye-bar;4;1800000;TRUE;TRUE;o
INVENTORY-RADIO;Radio;categorie-icizanye-bar;1;1000000;TRUE;TRUE;piece
INVENTORY-TELEVISION;Television;categorie-icizanye-bar;1;3000000;TRUE;TRUE;piece
INVENTORY-MIXISSAIRE;Mixissaire;categorie-icizanye-bar;1;3000000;TRUE;TRUE;piece
INVENTORY-IMPRIMANTE;Imprimante;categorie-icizanye-bar;2;1500000;TRUE;TRUE;piece
INVENTORY-CHAISE_PLASTIQUE;Chaise plastique;categorie-icizanye-bar;217;7595000;TRUE;TRUE;piece
INVENTORY-CHAISE_RESTO_BAR;Chaise resto bar;categorie-icizanye-bar;49;2940000;TRUE;TRUE;piece
INVENTORY-CHAISE_ET_TABLE_PALLAUTE;Chaise et table pallaute;categorie-icizanye-bar;10;5000000;TRUE;TRUE;piece
INVENTORY-TABLE_PLASTIQUE;Table plastique;categorie-icizanye-bar;39;2340000;TRUE;TRUE;piece
INVENTORY-TABLE_METALLIQUE;Table metallique;categorie-icizanye-bar;5;1000000;TRUE;TRUE;piece
INVENTORY-TABLE_EN_BOIS;Table en bois;categorie-icizanye-bar;49;1715000;TRUE;TRUE;piece
INVENTORY-TABLE_ZIBIYO_NINI;Table zibiyo nini;categorie-icizanye-bar;4;2000000;TRUE;TRUE;piece
INVENTORY-TABLE_ZIBIYO_NTOYA;Table zibiyo ntoya;categorie-icizanye-bar;3;750000;TRUE;TRUE;piece
INVENTORY-VERRE_DE_LIMONADE;Verre de limonade;categorie-icizanye-bar;17;68000;TRUE;TRUE;piece
INVENTORY-VERRE_DE_VIN;Verre de vin;categorie-icizanye-bar;10;40000;TRUE;TRUE;piece
INVENTORY-VERRE_DE_PRIMUS;Verre de primus;categorie-icizanye-bar;72;;TRUE;TRUE;piece
INVENTORY-VERRE_DE_AMSTEL;Verre de amstel;categorie-icizanye-bar;142;;TRUE;TRUE;piece
INVENTORY-CARTON_DE_G_AMSTEL;Carton de G amstel;categorie-icizanye-bar;44;;TRUE;TRUE;caisse
