##mBInventoryOrder;;
inventory;quantity;cost
INVENTORY-ASSIETTE;196;10000
INVENTORY-FLUTEUSES;4;250000
INVENTORY-BASSINS-G;8;35000
INVENTORY-TAMIS;11;15000
INVENTORY-IMBABURA;7;15000
INVENTORY-ISAFURIYA;11;20000
INVENTORY-IKARAYI;6;15000
INVENTORY-MIXEUR-CUISINE;1;180000
INVENTORY-CONGELATEUR;2;500000
INVENTORY-CUISINIERE;1;4700000
INVENTORY-BALANCE;2;45000
INVENTORY-PLANCHES;3;25000
INVENTORY-PALLETTE;6;20000
INVENTORY-IPANU;6;30000
INVENTORY-BASSIN_P;13;4000
INVENTORY-IBIRIKA;12;5000
INVENTORY-FOURCHETTE;101;2000
INVENTORY-COUTEAU_DE_TABLE;84;2000
INVENTORY-UTUYIKO_DUTOYA;51;1500
INVENTORY-BOLLE;76;5000
INVENTORY-CHAUFFE_EAU;2;45000
INVENTORY-TABLE_DE_CUISINE;8;40000
INVENTORY-CABELAS;1;0
INVENTORY-ROUCHE;5;2500
INVENTORY-MACHETTE_DE_CUISINE;3;8000
INVENTORY-FOUR_AKABENZI;1;6500000
INVENTORY-VANTILATEUR-CUISINE;1;600000
INVENTORY-CALCULATRICE-CUISINE;1;10000
