##mBInventory;;;;;;;
code;name;category;quantity;cost;active;visible;unit
INVENTORY-CONGERATEUR;Congerateur;categorie-icizanye-cuisine;4;1000000;TRUE;TRUE;piece
INVENTORY-FRIGOT-CUSINE;Frigot;categorie-icizanye-cuisine;1;2000000;TRUE;TRUE;piece
INVENTORY-MICRO_ONDE;Micro onde;categorie-icizanye-cuisine;1;500000;TRUE;TRUE;piece
INVENTORY-FRITEUSE;Friteuse;categorie-icizanye-cuisine;3;250000;TRUE;TRUE;piece
INVENTORY-CAFETIERE;Cafetiere;categorie-icizanye-cuisine;3;200000;TRUE;TRUE;piece
INVENTORY-CHAUFFE_EAU-CUISINE;Chauffe eau;categorie-icizanye-cuisine;2;45000;TRUE;TRUE;piece
INVENTORY-TOOSTER;Tooster;categorie-icizanye-cuisine;2;60000;TRUE;TRUE;piece
INVENTORY-MIXER_A_JUS;Mixer a jus;categorie-icizanye-cuisine;2;180000;TRUE;TRUE;piece
INVENTORY-TABLE_GRAND;Table grand;categorie-icizanye-cuisine;1;1500000;TRUE;TRUE;piece
INVENTORY-BALANCE_GRAND;Balance grand;categorie-icizanye-cuisine;2;150000;TRUE;TRUE;piece
INVENTORY-BALANCE_PETIT;Balance petit;categorie-icizanye-cuisine;1;45000;TRUE;TRUE;piece
INVENTORY-TELEMOS_GRAND;Telemos grand;categorie-icizanye-cuisine;9;25000;TRUE;TRUE;piece
INVENTORY-TELEMOS_PETIT;Telemos petit;categorie-icizanye-cuisine;18;15000;TRUE;TRUE;piece
INVENTORY-ISAFUNIYA_NINI;Isafuniya nini;categorie-icizanye-cuisine;4;90000;TRUE;TRUE;piece
INVENTORY-ISAFUNIYA_NTOYA;Isafuniya ntoya;categorie-icizanye-cuisine;5;15000;TRUE;TRUE;piece
INVENTORY-PANNEAU_OMLETTE;Panneau omlette;categorie-icizanye-cuisine;4;60000;TRUE;TRUE;piece
INVENTORY-PANNEAU_DE_THE;Panneau de thé;categorie-icizanye-cuisine;9;15000;TRUE;TRUE;piece
INVENTORY-PANNEAU_SIMPLE;Panneau simple;categorie-icizanye-cuisine;15;35000;TRUE;TRUE;piece
INVENTORY-PANNEAU_DES_FRITTES;Panneau des frittes;categorie-icizanye-cuisine;5;20000;TRUE;TRUE;piece
INVENTORY-MARMITE_DE_PATTE_P;Marmite de patte p;categorie-icizanye-cuisine;2;15000;TRUE;TRUE;piece
INVENTORY-GRAND_BASSIN;Grand bassin;categorie-icizanye-cuisine;6;25000;TRUE;TRUE;piece
INVENTORY-PETIT__BASSIN;Petit  bassin;categorie-icizanye-cuisine;8;4000;TRUE;TRUE;piece
INVENTORY-IMBABURA;Imbabura;categorie-icizanye-cuisine;5;12000;TRUE;TRUE;piece
INVENTORY-SEAUX-CUISINE;Seaux;categorie-icizanye-cuisine;6;12000;TRUE;TRUE;piece
INVENTORY-BAIN_MALIN;Bain malin;categorie-icizanye-cuisine;10;600000;TRUE;TRUE;piece
INVENTORY-VERRE_DE_LAIT;Verre de lait;categorie-icizanye-cuisine;5;4000;TRUE;TRUE;piece
INVENTORY-CHINWA;Chinwa;categorie-icizanye-cuisine;1;0;TRUE;TRUE;piece
INVENTORY-FOUE;Foue;categorie-icizanye-cuisine;4;0;TRUE;TRUE;piece
INVENTORY-SOUS_TASSE;Sous tasse ;categorie-icizanye-cuisine;100;25000;TRUE;TRUE;piece
INVENTORY-JAGUE;Jague;categorie-icizanye-cuisine;1;5000;TRUE;TRUE;piece
INVENTORY-BOLLE_DE_FRUIT;Bolle de Fruit;categorie-icizanye-cuisine;2;5000;TRUE;TRUE;piece
INVENTORY-BOLLE_DE_SOUPE;Bolle de soupe;categorie-icizanye-cuisine;6;5000;TRUE;TRUE;piece
INVENTORY-BOLLE_DE_PUMA;Bolle de puma;categorie-icizanye-cuisine;9;5000;TRUE;TRUE;piece
INVENTORY-B0LLE_DE_SUCRE;Bolle de sucre;categorie-icizanye-cuisine;3;5000;TRUE;TRUE;piece
INVENTORY-VENTULATEUR;Ventulateur;categorie-icizanye-cuisine;0;0;TRUE;TRUE;piece
INVENTORY-MARMITE_DE_BUFFET;Marmite de buffet;categorie-icizanye-cuisine;16;30000;TRUE;TRUE;piece
INVENTORY-PLATEAU_SALADE_G;Plateau salade G;categorie-icizanye-cuisine;7;6500;TRUE;TRUE;piece
INVENTORY-PLATEAU_SALADE_P;Plateau salade P;categorie-icizanye-cuisine;13;4000;TRUE;TRUE;piece
INVENTORY-ASSIETTE_DE_P_ENTIER;Assiette de P entier;categorie-icizanye-cuisine;3;60000;TRUE;TRUE;piece
INVENTORY-ASSIETTE_DE_MUKEKE;Assiette de mukeke;categorie-icizanye-cuisine;16;50000;TRUE;TRUE;piece
INVENTORY-ASSIETTE_DE_MELANGE;Assiette de melange;categorie-icizanye-cuisine;6;12000;TRUE;TRUE;piece
INVENTORY-ASSIETTE_DE_COM_SIMPLE;Assiette de com simple;categorie-icizanye-cuisine;88;12000;TRUE;TRUE;piece
INVENTORY-FOURCHETTE;Fourchette;categorie-icizanye-cuisine;412;2000;TRUE;TRUE;piece
INVENTORY-LOUCHE;Louche;categorie-icizanye-cuisine;25;4000;TRUE;TRUE;piece
INVENTORY-COUTEAU;Couteau;categorie-icizanye-cuisine;160;2000;TRUE;TRUE;piece
INVENTORY-PETIT_CUIERRE;Petit cuierre;categorie-icizanye-cuisine;62;1500;TRUE;TRUE;piece
INVENTORY-CUIERRE_DE_SOUPE;Cuierre de soupe;categorie-icizanye-cuisine;65;3000;TRUE;TRUE;piece
INVENTORY-ASSIETTE_IGISAFURIYA;Assiette igisafuriya;categorie-icizanye-cuisine;2;60000;TRUE;TRUE;piece
INVENTORY-PLANCHE;Planche;categorie-icizanye-cuisine;4;25000;TRUE;TRUE;piece
INVENTORY-ETAGERE-CUISINE;Etagere;categorie-icizanye-cuisine;2;150000;TRUE;TRUE;piece
INVENTORY-CALCULATRICE-CUISINE;Calculatrice;categorie-icizanye-cuisine;1;10000;TRUE;TRUE;piece
INVENTORY-HOT_POT;Hot pot;categorie-icizanye-cuisine;2;600000;TRUE;TRUE;piece
INVENTORY-MACHINE_VIANDE;Machine viande;categorie-icizanye-cuisine;2;200000;TRUE;TRUE;piece
INVENTORY-MIXEUR_A_SOUPE;Mixeur a soupe;categorie-icizanye-cuisine;5;180000;TRUE;TRUE;piece
INVENTORY-PORTE-CUILLEUR;Porte-cuilleur;categorie-icizanye-cuisine;2;10000;TRUE;TRUE;piece
INVENTORY-IFURU;Ifuru electrique;categorie-icizanye-cuisine;1;700000;TRUE;TRUE;piece
INVENTORY-MACHINEPOMM_DE_TERRE;Machine pomm de terre;categorie-icizanye-cuisine;1;550000;TRUE;TRUE;piece
INVENTORY-PLATINE;Platine;categorie-icizanye-cuisine;4;30000;TRUE;TRUE;piece
INVENTORY-KETIA;Ketia;categorie-icizanye-cuisine;2;25000;TRUE;TRUE;piece
INVENTORY-GRIADE;Griade;categorie-icizanye-cuisine;7;25000;TRUE;TRUE;piece
INVENTORY-LAPPE_CHOUX;Lappe choux;categorie-icizanye-cuisine;5;3000;TRUE;TRUE;piece
INVENTORY-LAPPE_CAROTTE;Lappe carotte;categorie-icizanye-cuisine;4;3000;TRUE;TRUE;piece
INVENTORY-COUTEAU_STEACK;Couteau steack;categorie-icizanye-cuisine;4;1500;TRUE;TRUE;piece
INVENTORY-CUISINIERE_A_GAZ;Cuisiniere a gaz;categorie-icizanye-cuisine;1;2500000;TRUE;TRUE;piece
INVENTORY-COUTEAU_SIMPLE;couteau simple;categorie-icizanye-cuisine;2;3000;TRUE;TRUE;piece
INVENTORY-MARTEAU_A_STEACK;Marteau a steack;categorie-icizanye-cuisine;2;15000;TRUE;TRUE;piece
;;;;;;;
;;;;;;;
;;;;;;;
##mBInventory;;;;;;;
code;name;category;quantity;cost;active;visible;unit
INVENTORY-CIBOIRE;Ciboire;categorie-icizanye-bar;9;1000000;TRUE;TRUE;piece
INVENTORY-FRIGOT-BAR;Frigot;categorie-icizanye-bar;4;2000000;TRUE;TRUE;piece
INVENTORY-ORDINATEUR_DE_BUREAU;Ordinateur de bureau;categorie-icizanye-bar;2;500000;TRUE;TRUE;piece
INVENTORY-ORDINATEUR_PORTABLE;Ordinateur portable;categorie-icizanye-bar;2;1000000;TRUE;TRUE;piece
INVENTORY-RADIO-BAR;Radio-Bar;categorie-icizanye-bar;1;1000000;TRUE;TRUE;piece
INVENTORY-TELEVISION-BAR;Television-Bar;categorie-icizanye-bar;1;3000000;TRUE;TRUE;piece
INVENTORY-IMPRIMANTE-BAR;Imprimante;categorie-icizanye-bar;2;750000;TRUE;TRUE;piece
INVENTORY-CHAISE_PLASTIQUE;Chaise plastique;categorie-icizanye-bar;217;35000;TRUE;TRUE;piece
