##mBInventory;;;;;;;
code;name;category;quantity;cost;active;visible;unit
INVENTORY-ASSIETTE;Assiette;categorie-kugatumba-cuisine;196;10000;TRUE;TRUE;piece
INVENTORY-FLUTEUSES;Fluteuses;categorie-kugatumba-cuisine;4;250000;TRUE;TRUE;piece
INVENTORY-BASSINS-G;Bassins G;categorie-kugatumba-cuisine;8;35000;TRUE;TRUE;piece
INVENTORY-TAMIS;Tamis;categorie-kugatumba-cuisine;11;15000;TRUE;TRUE;piece
INVENTORY-IMBABURA;Imbabura;categorie-kugatumba-cuisine;7;15000;TRUE;TRUE;piece
INVENTORY-ISAFURIYA;Isafuriya;categorie-kugatumba-cuisine;11;20000;TRUE;TRUE;piece
INVENTORY-IKARAYI;Ikarayi;categorie-kugatumba-cuisine;6;15000;TRUE;TRUE;piece
INVENTORY-MIXEUR-CUISINE;Mixeur;categorie-kugatumba-cuisine;1;180000;TRUE;TRUE;piece
INVENTORY-CONGELATEUR-CUISINE;Congelateur;categorie-kugatumba-cuisine;2;500000;TRUE;TRUE;piece
INVENTORY-CUISINIERE;Cuisiniere a gaz;categorie-kugatumba-cuisine;1;4700000;TRUE;TRUE;piece
INVENTORY-BALANCE;Balance;categorie-kugatumba-cuisine;2;45000;TRUE;TRUE;piece
INVENTORY-PLANCHES;Planches;categorie-kugatumba-cuisine;3;25000;TRUE;TRUE;piece
INVENTORY-PALLETTE;Pallette;categorie-kugatumba-cuisine;6;20000;TRUE;TRUE;piece
INVENTORY-IPANU;Ipanu;categorie-kugatumba-cuisine;6;30000;TRUE;TRUE;piece
INVENTORY-BASSIN_P;Bassin P;categorie-kugatumba-cuisine;13;4000;TRUE;TRUE;piece
INVENTORY-IBIRIKA;Ibirika;categorie-kugatumba-cuisine;12;5000;TRUE;TRUE;piece
INVENTORY-FOURCHETTE;Fourchette;categorie-kugatumba-cuisine;101;2000;TRUE;TRUE;piece
INVENTORY-COUTEAU_DE_TABLE;Couteau de table;categorie-kugatumba-cuisine;84;2000;TRUE;TRUE;piece
INVENTORY-UTUYIKO_DUTOYA;Utuyiko dutoya;categorie-kugatumba-cuisine;51;1500;TRUE;TRUE;piece
INVENTORY-BOLLE;Bolle;categorie-kugatumba-cuisine;76;5000;TRUE;TRUE;piece
